Source File,Public ID,Availability,Organization,System Name,Accelerator Model Name,Accelerators Per Node,Host Processor Model Name,Host Processors Per Node,Software,Notes,Availability Detail,Units,Total Accelerator Model Name,Total Accelerators,Total Host Processor Model Name,Total Host Processors,Other,Benchmark,Benchmark Model,kJ,Latency_minutes,Number Of Nodes,Watt_hours,Latency_hours,Watts,kW,CPU,GPU,GPU Form Factor,GPU Memory GB,CPU_TDP_W,GPU_TDP_W,Total CPUs,Total GPUs,Total CPU TDP,Total GPU TDP,Total TDP,Watts / CPU+GPU TDP
Table - Training (2).csv,4.0-0091,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,512,Valid,ResNet-50,ResNet-50,7867.171,2.554,8,2185.325277777778,0.04256666666666666,51338.886713651795,51.338886713651796,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,16,32,4800,22400,27200,1.8874590703548455
Table - Training (2).csv,4.0-0091,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,512,Valid,RetinaNet,RetinaNet,21762.089,6.314,8,6045.024722222222,0.10523333333333333,57444.01066413262,57.44401066413262,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,16,32,4800,22400,27200,2.1119121567695816
Table - Training (2).csv,4.0-0092,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,64,Valid,3D U-Net,3D U-Net,6010.498,1.828,9,1669.5827777777777,0.030466666666666666,54800.309992706054,54.800309992706055,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,18,32,5400,22400,27800,1.9712341723994984
Table - Training (2).csv,4.0-0093,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,72,Valid,3D U-Net,3D U-Net,4722.787,12.262,9,1311.885277777778,0.20436666666666667,6419.272277496874,6.419272277496875,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,18,32,5400,22400,27800,0.2309090747301034
Table - Training (2).csv,4.0-0093,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,72,Valid,BERT,BERT,1793.342,5.387,1,498.15055555555557,0.08978333333333333,5548.363343852485,5.548363343852484,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.2412331888631515
Table - Training (2).csv,4.0-0093,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,72,Valid,DLRM_DCNv2,DLRM_DCNv2,1265.893,3.836,1,351.63694444444445,0.06393333333333333,5500.056482446994,5.500056482446994,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.23913289054117365
Table - Training (2).csv,4.0-0093,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,72,Valid,Llama2_70b_lora,Llama2_70b_lora,11769.962,29.101,1,3269.4338888888888,0.48501666666666665,6740.869156844553,6.7408691568445525,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.2930812676888936
Table - Training (2).csv,4.0-0093,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,72,Valid,ResNet-50,ResNet-50,5520.377,13.425,1,1533.4380555555556,0.22375,6853.35443823712,6.85335443823712,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.2979719320972661
Table - Training (2).csv,4.0-0093,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,72,Valid,RetinaNet,RetinaNet,14534.863,36.178,1,4037.4619444444443,0.6029666666666667,6695.995264156854,6.6959952641568545,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,0.29113022887638496
Table - Training (2).csv,4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,Llama2_70b_lora,Llama2_70b_lora,45837.402,2.015,1,12732.611666666668,0.03358333333333333,379134.83870967745,379.13483870967747,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,32,600,22400,23000,16.48412342215989
Table - Training (2).csv,4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Valid,gpt3,gpt3,1676757.08,56.869,64,465765.85555555555,0.9478166666666666,491409.2270539896,491.4092270539896,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,128,32,38400,22400,60800,8.082388602861672
Table - Training (2).csv,4.0-0095,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,512,Valid,Llama2_70b_lora,Llama2_70b_lora,20381.549,5.488,64,5661.541388888889,0.09146666666666667,61897.318391642366,61.897318391642365,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,128,32,38400,22400,60800,1.018047999862539
Table - Training (2).csv,4.0-0095,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,512,Valid,ResNet-50,ResNet-50,7757.109,2.554,8,2154.7525,0.04256666666666666,50620.65387627252,50.62065387627252,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,16,32,4800,22400,27200,1.8610534513335484
Table - Training (2).csv,4.0-0095,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,512,Valid,RetinaNet,RetinaNet,21492.654,6.314,8,5970.181666666666,0.10523333333333333,56732.80012670256,56.732800126702564,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,16,32,4800,22400,27200,2.0857647105405355
Table - Training (2).csv,4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,Available Cloud,Latency (In minutes),NVIDIA H100-SXM5-80GB,32,Intel(R) Xeon(R) Platinum 8462Y+,64,Valid,3D U-Net,3D U-Net,5914.745,1.828,9,1642.9847222222222,0.030466666666666666,53927.288475565285,53.927288475565284,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,18,32,5400,22400,27800,1.9398305207037871
Table - Training.csv,5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,Available on-premise,kJ,NVIDIA Blackwell GPU (B200-SXM-180GB),32,Intel(R) Xeon(R) Platinum 8562Y+,8,,Llama2_70b_lora,Llama2_70b_lora,6114.238,11.324,1,1698.3994444444445,0.18873333333333334,8998.93736017897,8.99893736017897,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,32,600,32000,32600,0.2760410233183733
Table - Training.csv,5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,Available on-premise,kJ,NVIDIA Blackwell GPU (B200-SXM-180GB),32,Intel(R) Xeon(R) Platinum 8562Y+,8,,RetinaNet,RetinaNet,12058.033,22.352,1,3349.453611111111,0.3725333333333333,8991.01720949654,8.99101720949654,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,32,600,32000,32600,0.2757980739109368
Table - Training.csv,5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,Available on-premise,kJ,NVIDIA Blackwell GPU (B200-SXM-180GB),32,Intel(R) Xeon(R) Platinum 8562Y+,8,,Stable Diffusion,Stable Diffusion,8071.166,14.248,1,2241.9905555555556,0.23746666666666666,9441.285326595545,9.441285326595546,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,32,600,32000,32600,0.28960997934342164
Table - Training.csv,5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,Available on-premise,kJ,NVIDIA Blackwell GPU (B200-SXM-180GB),32,Intel(R) Xeon(R) Platinum 8562Y+,8,,bert,bert,1949.216,3.571,1,541.4488888888889,0.05951666666666667,9097.433025296368,9.097433025296368,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,32,600,32000,32600,0.2790623627391524
