Public ID,Availability,Organization,System Name (Click + for details),Accelerator Model Name,Accelerators Per Node,Host Processor Model Name,Host Processors Per Node,Software,Accuracy,Units (default),Host Processor Core Count,Total Accelerators,Valid / Invalid,Source File,Benchmark Model,kJ,Latency_minutes,Number Of Nodes,Watt_hours,Latency_hours,Watts,kW,CPU,GPU,GPU Form Factor,GPU Memory GB,CPU_TDP_W,GPU_TDP_W,Total CPUs,Total GPUs,Total CPU TDP,Total GPU TDP,Total TDP,Watts / CPU+GPU TDP,TDP ratio flag
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,8,Valid,Table - Training (2).csv,DLRM_DCNv2,1265.893,3.836,1,351.63694444444445,0.06393333333333333,5500.056482446994,5.500056482446994,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,8,600,5600,6200,0.8871058842656442,ok
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,8,Valid,Table - Training (2).csv,Llama2_70b_lora,11769.962,29.101,1,3269.4338888888888,0.48501666666666665,6740.869156844553,6.7408691568445525,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,8,600,5600,6200,1.0872369607813794,ok
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,8,Valid,Table - Training (2).csv,ResNet-50,5520.377,13.425,1,1533.4380555555556,0.22375,6853.35443823712,6.85335443823712,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,8,600,5600,6200,1.1053797481027614,ok
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,8,Valid,Table - Training (2).csv,RetinaNet,14534.863,36.178,1,4037.4619444444443,0.6029666666666667,6695.995264156854,6.6959952641568545,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,2,8,600,5600,6200,1.0799992361543314,ok
4.0-0095,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,512,Valid,Table - Training (2).csv,gpt3,1676757.08,56.869,64,465765.85555555555,0.9478166666666666,491409.2270539896,491.4092270539896,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,128,512,38400,358400,396800,1.2384305117288044,ok
4.0-0095,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,512,Valid,Table - Training (2).csv,Llama2_70b_lora,45837.402,2.015,64,12732.611666666668,0.03358333333333333,379134.83870967745,379.13483870967747,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,128,512,38400,358400,396800,0.9554809443288242,ok
4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,64,Valid,Table - Training (2).csv,Llama2_70b_lora,20381.549,5.488,8,5661.541388888889,0.09146666666666667,61897.318391642366,61.897318391642365,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,16,64,4800,44800,49600,1.2479298062831121,ok
4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,64,Valid,Table - Training (2).csv,ResNet-50,7757.109,2.554,8,2154.7525,0.04256666666666666,50620.65387627252,50.62065387627252,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,16,64,4800,44800,49600,1.0205776991183975,ok
4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,64,Valid,Table - Training (2).csv,RetinaNet,21492.654,6.314,8,5970.181666666666,0.10523333333333333,56732.80012670256,56.732800126702564,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,16,64,4800,44800,49600,1.1438064541673902,ok
4.0-0097,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,PyTorch NVIDIA Release 24.04,,kJ,32,72,Valid,Table - Training (2).csv,3D U-Net,5914.745,1.828,9,1642.9847222222222,0.030466666666666666,53927.288475565285,53.927288475565284,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100,SXM,80.0,300,700,18,72,5400,50400,55800,0.9664388615692704,ok
5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,kJ,32,8,,Table - Training.csv,bert,1949.216,3.571,1,541.4488888888889,0.05951666666666667,9097.433025296368,9.097433025296368,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,8,600,8000,8600,1.0578410494530661,ok
5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,kJ,32,8,,Table - Training.csv,Llama2_70b_lora,6114.238,11.324,1,1698.3994444444445,0.18873333333333334,8998.93736017897,8.99893736017897,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,8,600,8000,8600,1.0463880651370896,ok
5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,kJ,32,8,,Table - Training.csv,RetinaNet,12058.033,22.352,1,3349.453611111111,0.3725333333333333,8991.01720949654,8.99101720949654,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,8,600,8000,8600,1.0454671173833185,ok
5.0-0056,Available on-premise,Lenovo,ThinkSystem SR780a V3 with 8x B200-SXM-180GB,NVIDIA Blackwell GPU (B200-SXM-180GB),8,Intel(R) Xeon(R) Platinum 8562Y+,2,PyTorch NVIDIA Release 23.09,,kJ,32,8,,Table - Training.csv,Stable Diffusion,8071.166,14.248,1,2241.9905555555556,0.23746666666666666,9441.285326595545,9.441285326595546,Intel(R) Xeon(R) Platinum 8562Y+,NVIDIA B200,SXM,180.0,300,1000,2,8,600,8000,8600,1.0978238751855285,ok
