date,voll_mean,voll_min,voll_max,obs_count
2025-11-20,8228.912280701756,8228.912280701756,8228.912280701756,1
2025-11-21,8584.51461988304,8584.51461988304,8584.51461988304,1
2025-11-22,8968.01461988304,8793.56725146199,9041.368421052632,4
2025-11-23,9176.754385964912,9088.690058479531,9244.619883040936,4
2025-11-24,9590.438596491227,9346.654970760233,9901.415204678362,4
2025-11-25,10028.85380116959,9932.690058479531,10209.06432748538,5
2025-11-26,10308.280701754386,10231.122807017544,10351.157894736842,3
2025-11-27,10934.5567251462,10501.239766081871,11373.520467836257,5
2025-11-28,11510.900584795321,11417.719298245613,11668.467836257309,3
2025-11-29,12006.5,11954.631578947368,12047.438596491227,4
2025-11-30,12353.959064327486,12133.473684210527,12470.374269005848,4
2025-12-01,12794.561403508771,12678.25730994152,12970.619883040934,3
2025-12-02,13274.760233918129,13035.426900584795,13511.27485380117,4
2025-12-03,13901.423976608186,13799.649122807017,14012.327485380118,4
2025-12-04,14396.058479532163,14246.163742690058,14557.824561403508,4
2025-12-05,14306.523391812865,14214.444444444445,14396.725146198829,4
2025-12-06,13849.309941520467,13677.859649122807,14043.730994152045,5
2025-12-07,13503.181286549707,13460.152046783625,13553.95321637427,3
2025-12-08,13125.440935672514,12905.111111111111,13318.397660818713,5
2025-12-09,12629.970760233917,12505.087719298244,12754.198830409356,4
2025-12-11,11699.730994152047,11699.730994152047,11699.730994152047,1
2025-12-12,11539.929824561403,11491.216374269005,11618.654970760233,3
2025-12-13,11285.839181286548,11138.538011695906,11406.701754385964,4
2025-12-14,10972.654970760233,10867.157894736842,11039.27485380117,5
2025-12-15,10605.838596491227,10497.672514619882,10755.356725146197,5
2025-12-16,10248.902923976606,10063.461988304092,10396.292397660818,5
2025-12-17,9851.535087719298,9690.573099415204,9989.298245614034,4
2025-12-18,9510.277777777777,9461.157894736842,9601.391812865497,4
2025-12-19,9234.219298245613,9082.912280701754,9351.49707602339,4
2025-12-20,8926.388888888889,8839.052631578947,9032.80701754386,4
2025-12-21,8613.054970760233,8487.380116959064,8749.78947368421,5
2025-12-22,8372.748538011696,8283.953216374268,8438.502923976606,4
2025-12-23,8181.707602339182,8078.736842105262,8275.461988304094,4
