API Name,GPU model,Physical Processor,GPUs,vCPUs,On Demand Filled,gpu_model_clean,cpu_model_clean,gpu_count,vcpu_count,price_usd_per_hour,gpu_tdp_w_per_gpu,gpu_power_w_per_gpu_at_util,total_gpu_power_w,cpu_tdp_w_package,threads_per_package,cpu_tdp_w_per_vcpu,cpu_power_w_per_vcpu_at_util,total_cpu_power_w,total_power_w,total_power_mw,voll_usd_per_mwh,gpu_mapping_status,cpu_mapping_status,cpu_source_type,cpu_source_name,cpu_source_note
g4dn.16xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,64 vCPUs,4.352,T4,Intel Xeon Family,1.0,64.0,4.352,70,63.0,63.0,250.0,32.0,7.8125,3.90625,250.0,313.0,0.000313,13904.153354632588,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.2xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,8 vCPUs,0.752,T4,Intel Xeon Family,1.0,8.0,0.752,70,63.0,63.0,250.0,32.0,7.8125,3.90625,31.25,94.25,9.425e-05,7978.779840848806,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.4xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,16 vCPUs,1.204,T4,Intel Xeon Family,1.0,16.0,1.204,70,63.0,63.0,250.0,32.0,7.8125,3.90625,62.5,125.5,0.0001255,9593.625498007968,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.8xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,32 vCPUs,2.176,T4,Intel Xeon Family,1.0,32.0,2.176,70,63.0,63.0,250.0,32.0,7.8125,3.90625,125.0,188.0,0.000188,11574.468085106384,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.metal,NVIDIA T4 Tensor Core,Intel Xeon Family,8.0,96 vCPUs,7.824,T4,Intel Xeon Family,8.0,96.0,7.824,70,63.0,504.0,250.0,32.0,7.8125,3.90625,375.0,879.0,0.000879,8901.023890784983,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g4dn.xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,4 vCPUs,0.526,T4,Intel Xeon Family,1.0,4.0,0.526,70,63.0,63.0,250.0,32.0,7.8125,3.90625,15.625,78.625,7.8625e-05,6689.984101748808,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.
g5.12xlarge,NVIDIA A10G,AMD EPYC 7R32,4.0,48 vCPUs,5.672,A10G,AMD EPYC 7R32,4.0,48.0,5.672,300,270.0,1080.0,280.0,96.0,2.9166666666666665,1.4583333333333333,70.0,1150.0,0.00115,4932.173913043478,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5.16xlarge,NVIDIA A10G,AMD EPYC 7R32,1.0,64 vCPUs,4.096,A10G,AMD EPYC 7R32,1.0,64.0,4.096,300,270.0,270.0,280.0,96.0,2.9166666666666665,1.4583333333333333,93.33333333333333,363.3333333333333,0.0003633333333333333,11273.394495412846,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5.24xlarge,NVIDIA A10G,AMD EPYC 7R32,4.0,96 vCPUs,8.144,A10G,AMD EPYC 7R32,4.0,96.0,8.144,300,270.0,1080.0,280.0,96.0,2.9166666666666665,1.4583333333333333,140.0,1220.0,0.00122,6675.409836065574,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5.2xlarge,NVIDIA A10G,AMD EPYC 7R32,1.0,8 vCPUs,1.212,A10G,AMD EPYC 7R32,1.0,8.0,1.212,300,270.0,270.0,280.0,96.0,2.9166666666666665,1.4583333333333333,11.666666666666666,281.6666666666667,0.00028166666666666666,4302.958579881657,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5.48xlarge,NVIDIA A10G,AMD EPYC 7R32,8.0,192 vCPUs,16.288,A10G,AMD EPYC 7R32,8.0,192.0,16.288,300,270.0,2160.0,280.0,96.0,2.9166666666666665,1.4583333333333333,280.0,2440.0,0.00244,6675.409836065574,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5.4xlarge,NVIDIA A10G,AMD EPYC 7R32,1.0,16 vCPUs,1.624,A10G,AMD EPYC 7R32,1.0,16.0,1.624,300,270.0,270.0,280.0,96.0,2.9166666666666665,1.4583333333333333,23.333333333333332,293.3333333333333,0.0002933333333333333,5536.363636363637,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5.8xlarge,NVIDIA A10G,AMD EPYC 7R32,1.0,32 vCPUs,2.448,A10G,AMD EPYC 7R32,1.0,32.0,2.448,300,270.0,270.0,280.0,96.0,2.9166666666666665,1.4583333333333333,46.666666666666664,316.6666666666667,0.0003166666666666667,7730.526315789472,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5.xlarge,NVIDIA A10G,AMD EPYC 7R32,1.0,4 vCPUs,1.006,A10G,AMD EPYC 7R32,1.0,4.0,1.006,300,270.0,270.0,280.0,96.0,2.9166666666666665,1.4583333333333333,5.833333333333333,275.8333333333333,0.00027583333333333333,3647.129909365559,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.
g5g.16xlarge,NVIDIA T4G Tensor Core,AWS Graviton2 Processor,2.0,64 vCPUs,2.744,T4G,AWS Graviton2 Processor,2.0,64.0,2.744,70,63.0,126.0,110.0,64.0,1.71875,0.859375,55.0,181.0,0.000181,15160.22099447514,resolved,resolved,benchmark_proxy,AWS Graviton2 public specs plus common benchmark/reference comparisons,Best-effort package TDP proxy for Graviton2; no single public AWS TDP figure.
g5g.2xlarge,NVIDIA T4G Tensor Core,AWS Graviton2 Processor,1.0,8 vCPUs,0.556,T4G,AWS Graviton2 Processor,1.0,8.0,0.556,70,63.0,63.0,110.0,64.0,1.71875,0.859375,6.875,69.875,6.9875e-05,7957.066189624329,resolved,resolved,benchmark_proxy,AWS Graviton2 public specs plus common benchmark/reference comparisons,Best-effort package TDP proxy for Graviton2; no single public AWS TDP figure.
g5g.4xlarge,NVIDIA T4G Tensor Core,AWS Graviton2 Processor,1.0,16 vCPUs,0.828,T4G,AWS Graviton2 Processor,1.0,16.0,0.828,70,63.0,63.0,110.0,64.0,1.71875,0.859375,13.75,76.75,7.675e-05,10788.273615635178,resolved,resolved,benchmark_proxy,AWS Graviton2 public specs plus common benchmark/reference comparisons,Best-effort package TDP proxy for Graviton2; no single public AWS TDP figure.
g5g.8xlarge,NVIDIA T4G Tensor Core,AWS Graviton2 Processor,1.0,32 vCPUs,1.372,T4G,AWS Graviton2 Processor,1.0,32.0,1.372,70,63.0,63.0,110.0,64.0,1.71875,0.859375,27.5,90.5,9.05e-05,15160.22099447514,resolved,resolved,benchmark_proxy,AWS Graviton2 public specs plus common benchmark/reference comparisons,Best-effort package TDP proxy for Graviton2; no single public AWS TDP figure.
g5g.metal,NVIDIA T4G Tensor Core,AWS Graviton2 Processor,2.0,64 vCPUs,2.744,T4G,AWS Graviton2 Processor,2.0,64.0,2.744,70,63.0,126.0,110.0,64.0,1.71875,0.859375,55.0,181.0,0.000181,15160.22099447514,resolved,resolved,benchmark_proxy,AWS Graviton2 public specs plus common benchmark/reference comparisons,Best-effort package TDP proxy for Graviton2; no single public AWS TDP figure.
g5g.xlarge,NVIDIA T4G Tensor Core,AWS Graviton2 Processor,1.0,4 vCPUs,0.42,T4G,AWS Graviton2 Processor,1.0,4.0,0.42,70,63.0,63.0,110.0,64.0,1.71875,0.859375,3.4375,66.4375,6.64375e-05,6321.73095014111,resolved,resolved,benchmark_proxy,AWS Graviton2 public specs plus common benchmark/reference comparisons,Best-effort package TDP proxy for Graviton2; no single public AWS TDP figure.
