g4dn.xlarge,AWS,,,,"7,514","3,886",,,,,,,,,,,,,,,,,,,,,0.526,0.272,0.631,0.32,0.526,0.194,,g4dn.xlarge,,,,,,,,,,,,,,,,,,,,,,0.526,0.1911,,,,,,,,,,,,,
Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,US West - Oregon,US West - Oregon,US West - N CA,US West - N CA,East (N VA),East (N VA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPU B200 and B300 instance types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Use case: new generation - large scale training & inference, 'MoE and reasoning models with trillions of parameters' [AWS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6-b200.48xlarge,AWS,36.00,8.0,0.2,"14,242","5,037",,,,,,,,,,,,,,,,,,,,,113.933,41.574,113.933,46.294,,,,p6-b200.48xlarge,,,,,,,,,,,,,,,,,,,,,,113.9328,40.2988,,,,,,,,,,,,,
"
use1-az6 (us-east-1d)",,,,,,,,,,,,,,,,,,,,,,,,,,,US East N VA,US East N VA,US West - OR,US West - OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6-b300.48xlarge,AWS,36.00,8.8,0.2,"17,802","13,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,p6-b300.48xlarge,,,,,,,,,,,,,,,,,,,,,,142.416,106.919,,,,,,,,,,,,,
US West (Oregon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Azure has 900Gb RAM vs 1152 GB for AWS and GCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,US West 2 ,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,US east 1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,US east 2,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of instances,,GPU>1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,1133,84,,,256,0.4,102.4,,,,,,,,,,,,,,,,,,,,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure,1193,60,,,,,,,,,,,,,,,,,,,,,,,,,West US,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCP,288,26,,,,,,,,,,,,,,,,,,,,,,,,,West US 2,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2614,,,,,,,,,,,,,,,,,,,,,,,,,,West US 3,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,East US,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,East US 2,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270,,226,,,,,,,,,,,,,,,,,,,,,Central US,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100,,63,3.587301587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
