gpu_model_clean,voll_usd_per_mwh_trng_median,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_inf_median,instance_type,gpu_vintage_group
GB202,6026.236363636364,7365.400000000001,2134.4,2608.711111111111,g7e.48xlarge,Mainstream Modern AI
GB202,6073.215189873417,7422.818565400844,1801.2151898734176,2201.4852320675104,g7e.4xlarge,Mainstream Modern AI
GB202,7350.976744186047,8984.527131782947,2050.6046511627906,2506.294573643411,g7e.8xlarge,Mainstream Modern AI
L4,12970.786516853932,15853.183520599248,5895.505617977528,7205.617977528089,gr6.4xlarge,Mainstream Modern AI
L4,14796.77419354839,18084.946236559143,8020.766129032259,9803.15860215054,gr6.8xlarge,Mainstream Modern AI
L4,12895.161290322583,15760.752688172046,5293.548387096775,6469.89247311828,gr6f.4xlarge,Mainstream Modern AI
Inf1,2810.119047619048,3434.589947089947,645.8928571428571,789.4246031746031,inf1.24xlarge,Transitional / Early AI
Inf1,3147.826086956521,3847.342995169082,803.4782608695651,982.0289855072464,inf1.2xlarge,Transitional / Early AI
Inf1,2809.523809523809,3433.862433862434,522.1428571428571,638.1746031746032,inf1.6xlarge,Transitional / Early AI
Inf1,2400.0,2933.333333333334,486.31578947368416,594.3859649122808,inf1.xlarge,Transitional / Early AI
Inf2,7375.681818181818,9014.72222222222,4041.25,4939.305555555555,inf2.24xlarge,Mainstream Modern AI
Inf2,7375.738636363636,9014.791666666666,5782.272727272727,7067.222222222222,inf2.48xlarge,Mainstream Modern AI
Inf2,10178.793103448275,12440.74712643678,4901.896551724139,5991.206896551724,inf2.8xlarge,Mainstream Modern AI
Inf2,6789.850746268657,8298.706467661692,1385.3731343283582,1693.2338308457713,inf2.xlarge,Mainstream Modern AI
K80,5418.060200668896,6622.0735785953175,,,p2.16xlarge,Legacy / Older Vintage
K80,5418.060200668896,6622.0735785953175,,,p2.8xlarge,Legacy / Older Vintage
K80,2847.100175746925,3479.789103690686,,,p2.xlarge,Legacy / Older Vintage
V100,9210.702341137125,11257.52508361204,1643.290133779264,2008.465719063545,p3.16xlarge,Transitional / Early AI
V100,9210.702341137125,11257.52508361204,1025.2173913043478,1253.0434782608695,p3.2xlarge,Transitional / Early AI
V100,9210.702341137125,11257.52508361204,1319.2224080267558,1612.3829431438128,p3.8xlarge,Transitional / Early AI
V100,10837.5,13245.833333333336,2562.1875,3131.5625000000005,p3dn.24xlarge,Transitional / Early AI
A100,6220.28328611898,7602.568460812087,3020.311614730878,3691.4919735599615,p4d.24xlarge,Mainstream Modern AI
A100,7775.382436260623,9503.245199874096,4249.71671388102,5194.098205854581,p4de.24xlarge,Mainstream Modern AI
H100,8935.064935064935,10920.634920634922,4824.13961038961,5896.170634920635,p5.48xlarge,Mainstream Modern AI
H100,9214.285714285714,11261.904761904763,5135.892857142857,6277.202380952383,p5.4xlarge,Mainstream Modern AI
H200,10184.39259855189,12447.590953785646,2969.654062751408,3629.577187807277,p5en.48xlarge,Emerging / Frontier AI
B200,13095.724137931036,16005.885057471263,3467.758620689656,4238.371647509579,p6-b200.48xlarge,Emerging / Frontier AI
B300,14991.157894736842,18322.52631578948,2583.157894736842,3157.1929824561403,p6-b300.48xlarge,Emerging / Frontier AI
Inf1,12356.781609195405,15102.733077905496,2731.0344827586205,3337.931034482759,trn1.2xlarge,Transitional / Early AI
Inf1,12356.32183908046,15102.171136653897,3578.850574712644,4374.150702426565,trn1.32xlarge,Transitional / Early AI
Inf1,14241.379310344828,17406.13026819924,2712.3563218390805,3315.1021711366543,trn1n.32xlarge,Transitional / Early AI
