gpu_model_clean,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_inf_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand,gpu_vintage_group,panel_scenario,voll_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_trng_median
QA100,13894.030501089326,12076.0348583878,dl2q.24xlarge,1817.9956427015259,13.084724713674628,Mainstream Modern AI,inf_median,,
T4,7299.745547073791,2400.033927056828,g4dn.12xlarge,4899.711620016964,67.12167689161555,Transitional / Early AI,inf_median,,
T4,9331.773879142302,2580.8187134502928,g4dn.16xlarge,6750.955165692008,72.34375,Transitional / Early AI,inf_median,,
T4,6936.687631027254,2644.6121593291405,g4dn.2xlarge,4292.075471698114,61.875,Transitional / Early AI,inf_median,,
T4,7546.438746438747,2690.1424501424503,g4dn.4xlarge,4856.296296296297,64.35215946843854,Transitional / Early AI,inf_median,,
T4,8311.111111111113,2487.986111111112,g4dn.8xlarge,5823.125000000001,70.06433823529412,Transitional / Early AI,inf_median,,
T4,7299.745547073791,2910.6615776081426,g4dn.metal,4389.083969465649,60.12653374233129,Transitional / Early AI,inf_median,,
T4,6349.519890260633,2650.8641975308647,g4dn.xlarge,3698.655692729768,58.250950570342205,Transitional / Early AI,inf_median,,
A10G,9368.168168168168,3650.4804804804808,g5.12xlarge,5717.687687687687,61.03314527503525,Mainstream Modern AI,inf_median,,
A10G,14869.966996699672,5210.297029702972,g5.16xlarge,9659.669966996698,64.96093749999999,Mainstream Modern AI,inf_median,,
A10G,11311.111111111111,6451.666666666666,g5.24xlarge,4859.444444444445,42.961689587426335,Mainstream Modern AI,inf_median,,
A10G,8546.153846153846,3378.269230769231,g5.2xlarge,5167.884615384615,60.47029702970297,Mainstream Modern AI,inf_median,,
A10G,11311.111111111111,5737.708333333333,g5.48xlarge,5573.402777777778,49.27369842829077,Mainstream Modern AI,inf_median,,
A10G,10092.65536723164,4547.909604519775,g5.4xlarge,5544.745762711866,54.9384236453202,Mainstream Modern AI,inf_median,,
A10G,12295.890410958906,6058.5388127853885,g5.8xlarge,6237.351598173517,50.727124183006545,Mainstream Modern AI,inf_median,,
A10G,7605.498281786943,3663.6426116838497,g5.xlarge,3941.8556701030934,51.82902584493041,Mainstream Modern AI,inf_median,,
T4G,13415.111111111111,2914.7555555555555,g5g.16xlarge,10500.355555555556,78.27259475218659,Mainstream Modern AI,inf_median,,
T4G,8114.096185737979,3438.2752902155894,g5g.2xlarge,4675.820895522389,57.62589928057553,Mainstream Modern AI,inf_median,,
T4G,10379.48717948718,3012.307692307693,g5g.4xlarge,7367.179487179486,70.97826086956522,Mainstream Modern AI,inf_median,,
T4G,13415.111111111111,5472.622222222222,g5g.8xlarge,7942.488888888889,59.205539358600575,Mainstream Modern AI,inf_median,,
T4G,13415.111111111111,3210.5333333333333,g5g.metal,10204.577777777778,76.06778425655976,Mainstream Modern AI,inf_median,,
T4G,6677.506775067752,1985.76332429991,g5g.xlarge,4691.743450767842,70.26190476190476,Mainstream Modern AI,inf_median,,
L4,13140.602284527522,6386.396677050884,g6.12xlarge,6754.205607476638,51.399513212795554,Mainstream Modern AI,inf_median,,
L4,16050.17182130584,5918.642611683848,g6.16xlarge,10131.529209621991,63.12411681582666,Mainstream Modern AI,inf_median,,
L4,14363.693270735526,7427.582159624414,g6.24xlarge,6936.111111111112,48.28918983700863,Mainstream Modern AI,inf_median,,
L4,12533.333333333334,7246.153846153847,g6.2xlarge,5287.179487179487,42.18494271685761,Mainstream Modern AI,inf_median,,
L4,14363.693270735526,7250.811815336464,g6.48xlarge,7112.881455399062,49.51986457334612,Mainstream Modern AI,inf_median,,
L4,13628.464419475653,6891.479400749064,g6.4xlarge,6736.985018726589,49.433192261185,Mainstream Modern AI,inf_median,,
L4,14891.397849462368,8528.69623655914,g6.8xlarge,6362.701612903227,42.727362986497226,Mainstream Modern AI,inf_median,,
L4,11756.706507304116,5609.561752988048,g6.xlarge,6147.1447543160675,52.28628230616301,Mainstream Modern AI,inf_median,,
L40S,8327.460317460318,3651.7460317460327,g6e.12xlarge,4675.714285714285,56.14814250042887,Mainstream Modern AI,inf_median,,
L40S,17256.563146997934,4265.859213250518,g6e.16xlarge,12990.703933747416,75.27978672860688,Mainstream Modern AI,inf_median,,
L40S,10960.423280423283,2962.5793650793653,g6e.24xlarge,7997.843915343918,72.97021028037383,Mainstream Modern AI,inf_median,,
L40S,7340.208333333336,3237.79761904762,g6e.2xlarge,4102.410714285716,55.889567815886885,Mainstream Modern AI,inf_median,,
L40S,10960.423280423283,3457.5793650793657,g6e.48xlarge,7502.843915343918,68.45396134239591,Mainstream Modern AI,inf_median,,
L40S,9256.638655462186,3852.464985994398,g6e.4xlarge,5404.1736694677875,58.38159909460089,Mainstream Modern AI,inf_median,,
L40S,12484.862155388471,3925.263157894737,g6e.8xlarge,8559.598997493735,68.55981981186238,Mainstream Modern AI,inf_median,,
L40S,6289.093701996929,3002.9493087557607,g6e.xlarge,3286.144393241168,52.25147770016121,Mainstream Modern AI,inf_median,,
L4,14045.698924731185,6085.483870967743,g6f.2xlarge,7960.215053763442,56.67368421052631,Mainstream Modern AI,inf_median,,
L4,14045.698924731185,6616.263440860216,g6f.4xlarge,7429.435483870969,52.89473684210526,Mainstream Modern AI,inf_median,,
L4,16644.194756554305,4655.430711610487,g6f.large,11988.764044943819,72.02970297029702,Mainstream Modern AI,inf_median,,
L4,14045.698924731185,5594.623655913979,g6f.xlarge,8451.075268817207,60.168421052631594,Mainstream Modern AI,inf_median,,
GB202,7365.422222222222,2437.5111111111114,g7e.12xlarge,4927.911111111111,66.90602334029278,Mainstream Modern AI,inf_median,,
GB202,7365.422222222222,2322.711111111111,g7e.24xlarge,5042.711111111112,68.46465767972872,Mainstream Modern AI,inf_median,,
GB202,6533.174392935984,2008.8476821192053,g7e.2xlarge,4524.326710816778,69.25158336058995,Mainstream Modern AI,inf_median,,
GB202,7365.400000000001,2608.711111111111,g7e.48xlarge,4756.68888888889,64.58154192425243,Mainstream Modern AI,inf_median,,
GB202,7422.818565400844,2201.4852320675104,g7e.4xlarge,5221.333333333334,70.3416537441849,Mainstream Modern AI,inf_median,,
GB202,8984.527131782947,2506.294573643411,g7e.8xlarge,6478.232558139536,72.10432405755287,Mainstream Modern AI,inf_median,,
L4,15853.183520599248,7205.617977528089,gr6.4xlarge,8647.56554307116,54.54781704781705,Mainstream Modern AI,inf_median,,
L4,18084.946236559143,9803.15860215054,gr6.8xlarge,8281.787634408602,45.79381948986265,Mainstream Modern AI,inf_median,,
L4,15760.752688172046,6469.89247311828,gr6f.4xlarge,9290.860215053766,58.949343339587244,Mainstream Modern AI,inf_median,,
Inf1,3434.589947089947,789.4246031746031,inf1.24xlarge,2645.1653439153442,77.01546282567253,Transitional / Early AI,inf_median,,
Inf1,3847.342995169082,982.0289855072464,inf1.2xlarge,2865.3140096618354,74.47513812154696,Transitional / Early AI,inf_median,,
Inf1,3433.862433862434,638.1746031746032,inf1.6xlarge,2795.6878306878307,81.41525423728812,Transitional / Early AI,inf_median,,
Inf1,2933.333333333334,594.3859649122808,inf1.xlarge,2338.9473684210534,79.73684210526318,Transitional / Early AI,inf_median,,
Inf2,9014.72222222222,4939.305555555555,inf2.24xlarge,4075.416666666666,45.20845530459434,Mainstream Modern AI,inf_median,,
Inf2,9014.791666666666,7067.222222222222,inf2.48xlarge,1947.5694444444443,21.6041536671982,Mainstream Modern AI,inf_median,,
Inf2,12440.74712643678,5991.206896551724,inf2.8xlarge,6449.540229885056,51.84206514558666,Mainstream Modern AI,inf_median,,
Inf2,8298.706467661692,1693.2338308457713,inf2.xlarge,6605.472636815921,79.5964125560538,Mainstream Modern AI,inf_median,,
