date,voll_mean,voll_min,voll_max,obs_count,ondemand_price_usd_per_hour,voll_ondemand_historical
2024-01-25,1103.692162417375,928.413597733711,1453.9376770538242,3,32.773,9283.966851989133
2024-01-26,1189.3626062322946,928.413597733711,1453.8526912181303,8,32.773,9283.966851989133
2024-01-27,1122.5,928.413597733711,1436.7705382436259,8,32.773,9283.966851989133
2024-01-28,1183.6496694995278,928.413597733711,1433.541076487252,6,32.773,9283.966851989133
2024-01-30,1177.8706326723325,928.413597733711,1407.1104815864023,6,32.773,9283.966851989133
2024-01-31,1248.0406043437204,928.413597733711,1402.2379603399434,6,32.773,9283.966851989133
2024-02-01,1150.1447906830342,928.413597733711,1396.657223796034,9,32.773,9283.966851989133
2024-02-02,1166.0623229461755,928.413597733711,1391.1614730878186,4,32.773,9283.966851989133
2024-02-06,1139.4674220963173,961.4730878186969,1397.4504249291783,5,32.773,9283.966851989133
2024-02-07,1053.271954674221,961.5297450424929,1399.3201133144476,10,32.773,9283.966851989133
2024-02-08,1122.7916559361317,958.6968838526911,1396.99716713881,11,32.773,9283.966851989133
2024-02-09,1105.9584513692162,951.756373937677,1393.512747875354,12,32.773,9283.966851989133
2024-02-10,1114.2441411279938,948.1303116147309,1386.71388101983,11,32.773,9283.966851989133
2024-02-11,1080.450682462014,949.915014164306,1379.830028328612,11,32.773,9283.966851989133
2024-02-12,1129.6090651558075,952.0396600566572,1376.85552407932,10,32.773,9283.966851989133
2024-02-13,1079.402523821787,953.9093484419263,1366.6005665722378,11,32.773,9283.966851989133
2024-02-14,1093.5367182392677,957.3371104815864,1362.9178470254956,13,32.773,9283.966851989133
2024-02-15,1101.7343405728673,961.2181303116147,1354.957507082153,9,32.773,9283.966851989133
2024-02-16,1096.7901503595554,963.9376770538242,1351.756373937677,13,32.773,9283.966851989133
2024-02-17,1120.3553953129024,974.5609065155807,1344.7875354107648,11,32.773,9283.966851989133
2024-02-18,1095.5987638423899,989.1501416430594,1340.14164305949,11,32.773,9283.966851989133
2024-02-19,1109.8701605288006,993.7960339943343,1328.3852691218128,12,32.773,9283.966851989133
2024-02-20,1109.0793201133145,1000.3399433427762,1308.271954674221,12,32.773,9283.966851989133
