gpu_model_clean,gpu_vintage_group,instance_type,ondemand_trng_median,ondemand_inf_median,ondemand_sla_h3p0_trng_median,ondemand_sla_h3p0_inf_median,spot_trng_median,spot_inf_median
L40S,Mainstream Modern AI,g6e.24xlarge,7411.255411255412,9058.201058201055,61513.41991341992,75183.06878306877,2003.246753246753,2448.412698412698
L40S,Mainstream Modern AI,g6e.2xlarge,4963.326446280992,6066.287878787878,41195.60950413224,50350.18939393939,2189.3447461629275,2675.8658008658003
L40S,Mainstream Modern AI,g6e.48xlarge,7411.255411255412,9058.201058201055,61513.41991341992,75183.06878306877,2337.9574970484064,2857.503607503607
L40S,Mainstream Modern AI,g6e.4xlarge,6259.184665601777,7650.114591291061,51951.23272449475,63495.95110771581,2604.972567539412,3183.855360325948
L40S,Mainstream Modern AI,g6e.8xlarge,8442.055552103398,10318.067897015264,70069.06108245821,85639.9635452267,2654.197477163984,3244.01913875598
L40S,Mainstream Modern AI,g6e.xlarge,4252.580264310469,5197.598100823907,35296.416193776895,43140.06423683843,2030.544235822828,2481.7762882279007
L4,Mainstream Modern AI,g6f.2xlarge,9497.46734204212,11608.015640273705,78828.9789389496,96346.52981427175,4114.902692615302,5029.325513196481
L4,Mainstream Modern AI,g6f.4xlarge,9497.46734204212,11608.015640273705,78828.9789389496,96346.52981427175,4473.806984804051,5467.986314760508
L4,Mainstream Modern AI,g6f.large,11254.526882718912,13755.532856656451,93412.57312656697,114170.92271024856,3147.92459838425,3847.463398025196
L4,Mainstream Modern AI,g6f.xlarge,9497.46734204212,11608.015640273705,78828.9789389496,96346.52981427175,3782.99120234604,4623.655913978495
GB202,Mainstream Modern AI,g7e.12xlarge,4980.375657400449,6087.125803489438,41337.11795642373,50523.14416896234,1648.204357625845,2014.4719926538105
GB202,Mainstream Modern AI,g7e.24xlarge,4980.375657400449,6087.125803489438,41337.11795642373,50523.14416896234,1570.578512396694,1919.5959595959591
GB202,Mainstream Modern AI,g7e.2xlarge,4417.6235564555855,5399.317680112381,36666.275518581366,44814.33674493276,1358.349296699688,1660.204695966285
GB202,Mainstream Modern AI,g7e.48xlarge,4980.360631104432,6087.107438016528,41336.99323816679,50522.99173553719,1763.9669421487602,2155.9595959595954
GB202,Mainstream Modern AI,g7e.4xlarge,5019.186107333402,6134.5607978519365,41659.24469086724,50916.85462217108,1488.6075949367084,1819.4092827004213
GB202,Mainstream Modern AI,g7e.8xlarge,6075.187391889294,7425.229034531359,50424.05535268115,61629.40098661028,1694.7145877378434,2071.317829457364
L4,Mainstream Modern AI,gr6.4xlarge,10719.658278391677,13101.804562478716,88973.16371065093,108744.97786857335,4872.31869254341,5955.056179775281
L4,Mainstream Modern AI,gr6.8xlarge,12228.739002932549,14946.236559139785,101498.53372434016,124053.76344086022,6628.732338043187,8101.783968719453
L4,Mainstream Modern AI,gr6f.4xlarge,10657.158091175685,13025.415444770284,88454.41215675819,108110.94819159337,4374.833377765928,5347.018572825024
K80,Legacy / Older Vintage,p2.16xlarge,4477.7357030321455,5472.788081483734,37165.20633516681,45424.14107631499,,
K80,Legacy / Older Vintage,p2.8xlarge,4477.7357030321455,5472.788081483734,37165.20633516681,45424.14107631499,,
K80,Legacy / Older Vintage,p2.xlarge,2352.975351856962,2875.8587633807315,19529.695420412787,23869.627736060072,,
V100,Transitional / Early AI,p3.16xlarge,7612.150695154647,9303.739738522348,63180.850769783574,77221.0398297355,1358.0910196522843,1659.8890240194585
V100,Transitional / Early AI,p3.2xlarge,7612.150695154647,9303.739738522348,63180.850769783574,77221.0398297355,847.2871002515271,1035.5731225296445
V100,Transitional / Early AI,p3.8xlarge,7612.150695154647,9303.739738522348,63180.850769783574,77221.0398297355,1090.2664529146743,1332.547886895713
V100,Transitional / Early AI,p3dn.24xlarge,8956.611570247933,10946.969696969694,74339.87603305785,90859.84848484847,2117.510330578512,2588.068181818181
A100,Mainstream Modern AI,p4d.24xlarge,4931.189363995688,6027.009222661395,40928.871721164214,50024.176548089585,2394.3810636004314,2926.4657444005265
A100,Mainstream Modern AI,p4de.24xlarge,6164.009162773985,7533.788976723758,51161.27605102408,62530.4485068072,3369.003772906935,4117.671277997364
H100,Mainstream Modern AI,p5.48xlarge,7384.351186004077,9025.318116227205,61290.11484383384,74910.14036468581,3986.8922399914127,4872.868293322837
H100,Mainstream Modern AI,p5.4xlarge,7615.112160566705,9307.359307359306,63205.43093270365,77251.08225108225,4244.539551357732,5187.770562770562
H200,Emerging / Frontier AI,p5en.48xlarge,8416.853387232966,10287.265251062514,69859.88311403363,85384.30158381887,2454.259555992898,2999.650568435765
B200,Emerging / Frontier AI,p6-b200.48xlarge,10822.912510686803,13228.004179728314,89830.17383870047,109792.43469174502,2865.9162154459955,3502.7864855451053
B300,Emerging / Frontier AI,p6-b300.48xlarge,12389.386689865156,15142.583732057416,102831.90952588081,125683.44497607656,2290.648107872988,2799.681020733652
