gpu_model_clean,voll_usd_per_mwh_trng_median,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_inf_median,instance_type,gpu_vintage_group
GB202,4980.360631104432,6087.107438016528,1763.9669421487602,2155.9595959595954,g7e.48xlarge,Mainstream Modern AI
GB202,5019.186107333402,6134.5607978519365,1488.6075949367084,1819.4092827004213,g7e.4xlarge,Mainstream Modern AI
GB202,6075.187391889294,7425.229034531359,1694.7145877378434,2071.317829457364,g7e.8xlarge,Mainstream Modern AI
L4,10719.658278391677,13101.804562478716,4872.31869254341,5955.056179775281,gr6.4xlarge,Mainstream Modern AI
L4,12228.739002932549,14946.236559139785,6628.732338043187,8101.783968719453,gr6.8xlarge,Mainstream Modern AI
L4,10657.158091175685,13025.415444770284,4374.833377765928,5347.018572825024,gr6f.4xlarge,Mainstream Modern AI
K80,4477.7357030321455,5472.788081483734,,,p2.16xlarge,Legacy / Older Vintage
K80,4477.7357030321455,5472.788081483734,,,p2.8xlarge,Legacy / Older Vintage
K80,2352.975351856962,2875.8587633807315,,,p2.xlarge,Legacy / Older Vintage
V100,7612.150695154647,9303.739738522348,1358.0910196522843,1659.8890240194585,p3.16xlarge,Transitional / Early AI
V100,7612.150695154647,9303.739738522348,847.2871002515271,1035.5731225296445,p3.2xlarge,Transitional / Early AI
V100,7612.150695154647,9303.739738522348,1090.2664529146743,1332.547886895713,p3.8xlarge,Transitional / Early AI
V100,8956.611570247933,10946.969696969694,2117.510330578512,2588.068181818181,p3dn.24xlarge,Transitional / Early AI
A100,4931.189363995688,6027.009222661395,2394.3810636004314,2926.4657444005265,p4d.24xlarge,Mainstream Modern AI
A100,6164.009162773985,7533.788976723758,3369.003772906935,4117.671277997364,p4de.24xlarge,Mainstream Modern AI
H100,7384.351186004077,9025.318116227205,3986.8922399914127,4872.868293322837,p5.48xlarge,Mainstream Modern AI
H100,7615.112160566705,9307.359307359306,4244.539551357732,5187.770562770562,p5.4xlarge,Mainstream Modern AI
H200,8416.853387232966,10287.265251062514,2454.259555992898,2999.650568435765,p5en.48xlarge,Emerging / Frontier AI
B200,10822.912510686803,13228.004179728314,2865.9162154459955,3502.7864855451053,p6-b200.48xlarge,Emerging / Frontier AI
B300,12389.386689865156,15142.583732057416,2290.648107872988,2799.681020733652,p6-b300.48xlarge,Emerging / Frontier AI
