date,voll_mean,voll_min,voll_max,obs_count,location,ondemand_price_usd_per_hour,voll_ondemand_historical
2024-01-25,3378.0736543909347,2982.379603399433,3514.6175637393762,5,us-east-1,32.773,9283.966851989133
2024-01-25,928.413597733711,928.413597733711,928.413597733711,1,us-east-2,32.773,9283.966851989133
2024-01-25,1103.692162417375,928.413597733711,1453.9376770538242,3,us-west-2,32.773,9283.966851989133
2024-01-26,3256.005665722379,2977.648725212465,3519.5184135977333,11,us-east-1,32.773,9283.966851989133
2024-01-26,928.413597733711,928.413597733711,928.413597733711,1,us-east-2,32.773,9283.966851989133
2024-01-26,1189.3626062322946,928.413597733711,1453.8526912181303,8,us-west-2,32.773,9283.966851989133
2024-01-27,3258.076015108593,2964.220963172804,3524.0509915014163,12,us-east-1,32.773,9283.966851989133
2024-01-27,928.413597733711,928.413597733711,928.413597733711,1,us-east-2,32.773,9283.966851989133
2024-01-27,1122.5,928.413597733711,1436.7705382436259,8,us-west-2,32.773,9283.966851989133
2024-01-28,3345.7129367327666,2963.229461756374,3496.8838526912177,9,us-east-1,32.773,9283.966851989133
2024-01-28,928.413597733711,928.413597733711,928.413597733711,1,us-east-2,32.773,9283.966851989133
2024-01-28,1183.6496694995278,928.413597733711,1433.541076487252,6,us-west-2,32.773,9283.966851989133
2024-01-30,1177.8706326723325,928.413597733711,1407.1104815864023,6,us-west-2,32.773,9283.966851989133
2024-01-30,3286.4695467422093,2957.9603399433427,3519.9999999999995,8,us-east-1,32.773,9283.966851989133
2024-01-30,928.413597733711,928.413597733711,928.413597733711,1,us-east-2,32.773,9283.966851989133
2024-01-31,1248.0406043437204,928.413597733711,1402.2379603399434,6,us-west-2,32.773,9283.966851989133
2024-01-31,3317.0563996909605,2953.682719546742,3502.6062322946177,11,us-east-1,32.773,9283.966851989133
2024-01-31,928.413597733711,928.413597733711,928.413597733711,2,us-east-2,32.773,9283.966851989133
2024-02-01,1150.1447906830342,928.413597733711,1396.657223796034,9,us-west-2,32.773,9283.966851989133
2024-02-01,3251.4576358485706,2951.0764872521245,3494.9858356940513,11,us-east-1,32.773,9283.966851989133
2024-02-01,928.413597733711,928.413597733711,928.413597733711,1,us-east-2,32.773,9283.966851989133
2024-02-02,1166.0623229461755,928.413597733711,1391.1614730878186,4,us-west-2,32.773,9283.966851989133
2024-02-02,3253.739376770538,2960.8215297450424,3489.830028328612,5,us-east-1,32.773,9283.966851989133
2024-02-05,928.413597733711,928.413597733711,928.413597733711,1,us-east-2,32.773,9283.966851989133
2024-02-06,933.6260623229462,928.413597733711,938.8385269121812,2,us-east-2,32.773,9283.966851989133
2024-02-06,3257.124645892351,2989.6883852691217,3441.3881019830023,6,us-east-1,32.773,9283.966851989133
2024-02-06,1139.4674220963173,961.4730878186969,1397.4504249291783,5,us-west-2,32.773,9283.966851989133
2024-02-07,944.1737488196412,928.413597733711,952.2946175637394,6,us-east-2,32.773,9283.966851989133
2024-02-07,3255.936867664913,2981.7847025495753,3437.790368271955,14,us-east-1,32.773,9283.966851989133
