gpu_model_clean,gpu_vintage_group,instance_type,ondemand_sla_h3p0_trng_median,ondemand_sla_h3p0_inf_median
QA100,Mainstream Modern AI,dl2q.24xlarge,77977.76697455841,95306.15963557138
K520,Legacy / Older Vintage,g2.2xlarge,15782.929861771374,19290.247608831683
K520,Legacy / Older Vintage,g2.8xlarge,15782.929861771374,19290.247608831683
M60,Legacy / Older Vintage,g3.16xlarge,21456.863535577508,26225.055432372505
M60,Legacy / Older Vintage,g3.4xlarge,21456.863535577508,26225.055432372505
M60,Legacy / Older Vintage,g3.8xlarge,21456.863535577508,26225.055432372505
M60,Legacy / Older Vintage,g3s.xlarge,16274.746183677322,19891.356446716727
V520,Legacy / Older Vintage,g4ad.16xlarge,21891.497236728686,26756.274400446175
V520,Legacy / Older Vintage,g4ad.2xlarge,14949.115314215984,18271.140939597313
V520,Legacy / Older Vintage,g4ad.4xlarge,21891.497236728686,26756.274400446175
V520,Legacy / Older Vintage,g4ad.8xlarge,21891.497236728686,26756.274400446175
V520,Legacy / Older Vintage,g4ad.xlarge,10970.375974857408,13408.2373026035
T4,Transitional / Early AI,g4dn.12xlarge,54764.041153651546,66933.82807668521
T4,Transitional / Early AI,g4dn.16xlarge,85293.03423848876,104247.04184704184
T4,Transitional / Early AI,g4dn.2xlarge,49127.11530893349,60044.25204425204
T4,Transitional / Early AI,g4dn.4xlarge,58991.73553719008,72101.01010101008
T4,Transitional / Early AI,g4dn.8xlarge,71077.52853207398,86872.53487253486
T4,Transitional / Early AI,g4dn.metal,54764.041153651546,66933.82807668521
T4,Transitional / Early AI,g4dn.xlarge,41235.41912632821,50398.845598845604
A10G,Mainstream Modern AI,g5.12xlarge,52577.17221353584,64260.988260988255
A10G,Mainstream Modern AI,g5.16xlarge,83455.03641273217,102000.60006000599
A10G,Mainstream Modern AI,g5.24xlarge,63481.592787377915,77588.61340679522
A10G,Mainstream Modern AI,g5.2xlarge,47963.76350921805,58622.377622377615
A10G,Mainstream Modern AI,g5.48xlarge,63481.592787377915,77588.61340679522
A10G,Mainstream Modern AI,g5.4xlarge,56643.2273427651,69230.61119671288
A10G,Mainstream Modern AI,g5.8xlarge,69008.49088644853,84343.71108343711
A10G,Mainstream Modern AI,g5.xlarge,42684.50200221521,52169.94689159637
T4G,Mainstream Modern AI,g5g.16xlarge,64905.10116842405,79328.4569836294
T4G,Mainstream Modern AI,g5g.2xlarge,42973.34419741591,52522.9762412861
T4G,Mainstream Modern AI,g5g.4xlarge,52834.13415337305,64575.05285412262
T4G,Mainstream Modern AI,g5g.8xlarge,64905.10116842405,79328.4569836294
T4G,Mainstream Modern AI,g5g.metal,64905.10116842405,79328.4569836294
T4G,Mainstream Modern AI,g5g.xlarge,36295.958872909476,44361.727511333804
L4,Mainstream Modern AI,g6.12xlarge,73749.28554877579,90138.01567072596
L4,Mainstream Modern AI,g6.16xlarge,90078.72539831302,110096.21993127145
L4,Mainstream Modern AI,g6.24xlarge,80613.66546385751,98527.81334471476
L4,Mainstream Modern AI,g6.2xlarge,70341.09691960932,85972.45179063361
L4,Mainstream Modern AI,g6.48xlarge,80613.66546385751,98527.81334471476
L4,Mainstream Modern AI,g6.4xlarge,76487.32472838702,93484.50800136196
L4,Mainstream Modern AI,g6.8xlarge,83575.31324980006,102147.60508308896
L4,Mainstream Modern AI,g6.xlarge,65982.41743768724,80645.17686828444
L40S,Mainstream Modern AI,g6e.12xlarge,46736.3851025008,57122.248458612085
L40S,Mainstream Modern AI,g6e.16xlarge,96849.38144859095,118371.46621494445
L40S,Mainstream Modern AI,g6e.24xlarge,61513.41991341992,75183.06878306877
