Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
E8ds v6,E8ds v6,64 GiB,8,8 GiB/vCPU,0,440 GiB,$0.654 hourly,,,$0.1209 hourly,$1.022 hourly,,,$0.1889 hourly
E8ds v7,E8ds v7,64 GiB,8,8 GiB/vCPU,0,440 GiB,,,,,,,,
E8d v4,E8d v4,64 GiB,8,8 GiB/vCPU,0,300 GiB,$0.576 hourly,,,$0.1267 hourly,$0.944 hourly,,,$0.2193 hourly
E8d v5,E8d v5,64 GiB,8,8 GiB/vCPU,0,300 GiB,$0.576 hourly,,,$0.1292 hourly,$0.944 hourly,,,$0.221 hourly
E8nds v6,E8nds v6,64 GiB,8,8 GiB/vCPU,0,440 GiB,$0.857 hourly,,,$0.1584 hourly,$1.225 hourly,,,$0.2264 hourly
E8ns v6,E8ns v6,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.693 hourly,,,$0.1281 hourly,$1.061 hourly,,,$0.1961 hourly
Standard E8pds v5,E8pds v5,64 GiB,8,8 GiB/vCPU,0,300 GiB,$0.461 hourly,,,$0.0852 hourly,,,,
Standard E8pds v6,E8pds v6,64 GiB,8,8 GiB/vCPU,0,440 GiB,$0.468 hourly,,,$0.1224 hourly,,,,
Standard E8ps v5,E8ps v5,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.403 hourly,,,$0.0745 hourly,,,,
Standard E8ps v6,E8ps v6,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.369 hourly,,,$0.0965 hourly,,,,
E8s v3,E8s v3,64 GiB,8,8 GiB/vCPU,0,128 GiB,$0.504 hourly,,,$0.0931 hourly,$0.872 hourly,,,$0.1611 hourly
E8s v4,E8s v4,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.504 hourly,,,$0.1242 hourly,$0.872 hourly,,,$0.215 hourly
E8s v5,E8s v5,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.504 hourly,,,$0.1242 hourly,$0.872 hourly,,,$0.215 hourly
E8s v6,E8s v6,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.529 hourly,,,$0.0978 hourly,$0.897 hourly,,,$0.1658 hourly
E8s v7,E8s v7,64 GiB,8,8 GiB/vCPU,0,0 GiB,,,,,,,,
E8 v3,E8 v3,64 GiB,8,8 GiB/vCPU,0,200 GiB,$0.504 hourly,,,$0.0931 hourly,$0.872 hourly,,,$0.1611 hourly
E8 v4,E8 v4,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.504 hourly,,,$0.1242 hourly,$0.872 hourly,,,$0.215 hourly
E8 v5,E8 v5,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.504 hourly,,,$0.1242 hourly,$0.872 hourly,,,$0.215 hourly
E96-48s v6,E96-48s v6,768 GiB,96,8 GiB/vCPU,0,0 GiB,$5.424 hourly,,,$1.0024 hourly,$10.138 hourly,,,$1.8735 hourly
E96ads v5,E96ads v5,672 GiB,96,7 GiB/vCPU,0,3600 GiB,$6.288 hourly,,,$1.162 hourly,$10.704 hourly,,,$1.9781 hourly
E96ads v6,E96ads v6,672 GiB,96,7 GiB/vCPU,0,5280 GiB,$6.97 hourly,,,$1.3661 hourly,$11.386 hourly,,,$2.2317 hourly
E96ads v7,E96ads v7,768 GiB,96,8 GiB/vCPU,0,5280 GiB,$6.97 hourly,,,$1.2881 hourly,$6.97 hourly,,,$1.2881 hourly
E96as v4,E96as v4,672 GiB,96,7 GiB/vCPU,0,1344 GiB,$6.048 hourly,,,$1.1177 hourly,$10.464 hourly,,,$1.9337 hourly
E96as v5,E96as v5,672 GiB,96,7 GiB/vCPU,0,0 GiB,$5.424 hourly,,,$1.0024 hourly,$9.84 hourly,,,$1.8184 hourly
E96as v6,E96as v6,672 GiB,96,7 GiB/vCPU,0,0 GiB,$5.722 hourly,,,$1.1215 hourly,$10.138 hourly,,,$1.987 hourly
E96as v7,E96as v7,768 GiB,96,8 GiB/vCPU,0,0 GiB,$5.722 hourly,,,$1.0574 hourly,$10.138 hourly,,,$1.8735 hourly
E96a v4,E96a v4,672 GiB,96,7 GiB/vCPU,0,2400 GiB,$6.048 hourly,,,$1.1177 hourly,$10.464 hourly,,,$1.9337 hourly
E96bds v5,E96bds v5,672 GiB,96,7 GiB/vCPU,0,3600 GiB,$8.016 hourly,,,$1.798 hourly,$12.432 hourly,,,$2.9103 hourly
E96bds v6,E96bds v6,768 GiB,96,8 GiB/vCPU,0,5280 GiB,$9.379 hourly,,,$1.7332 hourly,$13.795 hourly,,,$2.5493 hourly
E96bs v5,E96bs v5,672 GiB,96,7 GiB/vCPU,0,0 GiB,$7.152 hourly,,,$1.763 hourly,$11.568 hourly,,,$2.8527 hourly
E96bs v6,E96bs v6,768 GiB,96,8 GiB/vCPU,0,0 GiB,$8.371 hourly,,,$1.6742 hourly,$12.787 hourly,,,$2.5574 hourly
E96ds v5,E96ds v5,672 GiB,96,7 GiB/vCPU,0,3600 GiB,$6.912 hourly,,,$1.5504 hourly,$11.328 hourly,,,$2.6519 hourly
E96ds v6,E96ds v6,768 GiB,96,8 GiB/vCPU,0,5280 GiB,$7.849 hourly,,,$1.4505 hourly,$12.265 hourly,,,$2.2666 hourly
E96ds v7,E96ds v7,768 GiB,96,8 GiB/vCPU,0,5280 GiB,,,,,,,,
E96d v5,E96d v5,672 GiB,96,7 GiB/vCPU,0,3600 GiB,$6.912 hourly,,,$1.5504 hourly,$11.328 hourly,,,$2.6519 hourly
E96nds v4,E96nds v4,768 GiB,96,8 GiB/vCPU,0,5280 GiB,$10.282 hourly,,,$1.9001 hourly,$14.698 hourly,,,$2.7162 hourly
E96ns v4,E96ns v4,768 GiB,96,8 GiB/vCPU,0,0 GiB,$8.319 hourly,,,$1.5374 hourly,$12.735 hourly,,,$2.3534 hourly
