provider,instance_type
aws,g6e.12xlarge
aws,g6e.24xlarge
aws,g6e.48xlarge
aws,gr6.4xlarge
aws,gr6.8xlarge
aws,g5g.xlarge
aws,g5g.2xlarge
aws,g5g.4xlarge
aws,g5g.8xlarge
aws,g5g.16xlarge
aws,g5g.metal
aws,h1.2xlarge
aws,h1.4xlarge
aws,h1.8xlarge
aws,h1.16xlarge
aws,hpc7g.4xlarge
aws,hpc7g.8xlarge
aws,hpc7g.16xlarge
aws,hs1.8xlarge
aws,i2.large
aws,i2.xlarge
aws,i2.xlarge.elasticsearch
aws,i2.2xlarge
aws,i2.2xlarge.elasticsearch
aws,i2.4xlarge
aws,i2.8xlarge
aws,i3.large
aws,i3.large.elasticsearch
aws,i3.xlarge
aws,i3.xlarge.elasticsearch
aws,i3.2xlarge
aws,i3.2xlarge.elasticsearch
aws,i3.4xlarge
aws,i3.4xlarge.elasticsearch
aws,i3.8xlarge
aws,i3.8xlarge.elasticsearch
aws,i3.16xlarge
aws,i3.16xlarge.elasticsearch
aws,i3.metal
aws,i3en.large
aws,i3en.xlarge
aws,i3en.2xlarge
aws,i3en.3xlarge
aws,i3en.6xlarge
aws,i3en.12xlarge
aws,i3en.24xlarge
aws,i3en.metal
aws,i4g.large
aws,i4g.xlarge
aws,i4g.2xlarge
aws,i4g.4xlarge
aws,i4g.8xlarge
aws,i4g.16xlarge
aws,i4i.large
aws,i4i.xlarge
aws,i4i.2xlarge
aws,i4i.4xlarge
aws,i4i.8xlarge
aws,i4i.16xlarge
aws,i4i.32xlarge
aws,i4i.metal
aws,im4gn.large
aws,im4gn.xlarge
aws,im4gn.2xlarge
aws,im4gn.4xlarge
aws,im4gn.8xlarge
aws,im4gn.16xlarge
aws,inf1.xlarge
aws,inf1.2xlarge
aws,inf1.6xlarge
aws,inf1.24xlarge
aws,inf2.xlarge
aws,inf2.8xlarge
aws,inf2.24xlarge
aws,inf2.48xlarge
aws,is4gen.medium
aws,is4gen.large
aws,is4gen.xlarge
aws,is4gen.2xlarge
aws,is4gen.4xlarge
aws,is4gen.8xlarge
aws,db.m1.medium
aws,m1.medium
aws,db.m1.small
aws,m1.small
aws,db.m1.large
aws,m1.large
aws,db.m1.xlarge
aws,m1.xlarge
aws,db.m2.xlarge
aws,m2.xlarge
aws,db.m2.2xlarge
aws,m2.2xlarge
aws,db.m2.4xlarge
aws,m2.4xlarge
aws,cache.m3.medium
aws,db.m3.medium
aws,m3.medium
aws,m3.medium.elasticsearch
aws,db.m3.large
aws,m3.large
aws,m3.large.elasticsearch
aws,db.m3.xlarge
aws,m3.xlarge
aws,m3.xlarge.elasticsearch
aws,db.m3.2xlarge
aws,m3.2xlarge
aws,m3.2xlarge.elasticsearch
aws,cache.m4.large
aws,db.m4.large
aws,m4.large
aws,m4.large.elasticsearch
aws,cache.m4.xlarge
aws,db.m4.xlarge
aws,m4.xlarge
aws,m4.xlarge.elasticsearch
aws,cache.m4.2xlarge
aws,db.m4.2xlarge
aws,m4.2xlarge
aws,m4.2xlarge.elasticsearch
aws,cache.m4.4xlarge
aws,db.m4.4xlarge
aws,m4.4xlarge
