url,page_title,vendor,capacity_text,interface,form_factor,controller,nand,idle_power_text,active_power_text,avg_power_text,model_guess,capacity_tb,idle_w,active_w,avg_w,enterprise_flag_heuristic
https://www.techpowerup.com/ssd-specs/intel-660p-1-tb.d436,Intel 660p 1 TB Specs | TechPowerUp SSD Database,Silicon Motion,1 TB (1024 GB),PCIe 3.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),4 @ 800 MT/s,,,,Intel 660p 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/intel-660p-512-gb.d437,Intel 660p 512 GB Specs | TechPowerUp SSD Database,Silicon Motion,512 GB,PCIe 3.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),4 @ 800 MT/s,,,,Intel 660p 512 GB Specs | TechPowerUp SSD Database,0.512,,,,False
https://www.techpowerup.com/ssd-specs/intel-670p-512-gb.d432,Intel 670p 512 GB Specs | TechPowerUp SSD Database,Silicon Motion,512 GB,PCIe 3.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),"4 @ 1,200 MT/s",,,,Intel 670p 512 GB Specs | TechPowerUp SSD Database,0.512,,,,False
https://www.techpowerup.com/ssd-specs/kingston-a400-240-gb.d287,Kingston A400 240 GB Specs | TechPowerUp SSD Database,Phison,240 GB,SATA 6 Gbps,"2.5""",,2 @ 533 MT/s,,,,Kingston A400 240 GB Specs | TechPowerUp SSD Database,0.24,,,,False
https://www.techpowerup.com/ssd-specs/kingston-fury-renegade-1-tb.d609,Kingston FURY Renegade 1 TB Specs | TechPowerUp SSD Database,Phison,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),"8 @ 1,600 MT/s",,,,Kingston FURY Renegade 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/kingston-kc3000-1-tb.d259,Kingston KC3000 1 TB Specs | TechPowerUp SSD Database,Phison,1 TB (1024 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),DRAM (enabled),"8 @ 1,600 MT/s",,,,Kingston KC3000 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/kingston-kc3000-2-tb.d260,Kingston KC3000 2 TB Specs | TechPowerUp SSD Database,Phison,2 TB (2048 GB),PCIe 4.0 x4,M.2 2280 (Double-Sided),DRAM (enabled),"8 @ 1,600 MT/s",,,,Kingston KC3000 2 TB Specs | TechPowerUp SSD Database,2.0,,,,False
https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d1187,Kingston NV2 1 TB Specs | TechPowerUp SSD Database,Silicon Motion,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),,"4 @ 1,200 MT/s",,,,Kingston NV2 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/kingston-nv3-1-tb.d2162,Kingston NV3 1 TB (SM2268XT2 + Kioxia BiCS6 QLC 1Tb),Silicon Motion,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 3,600 MT/s",,,,Kingston NV3 1 TB (SM2268XT2 + Kioxia BiCS6 QLC 1Tb),1.0,,,,False
https://www.techpowerup.com/ssd-specs/kingston-nv3-1-tb.d2164,Kingston NV3 1 TB (Phison E27T + Kioxia BiCS6 TLC 1Tb),Phison,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 3,600 MT/s",,,,Kingston NV3 1 TB (Phison E27T + Kioxia BiCS6 TLC 1Tb),1.0,,,,False
https://www.techpowerup.com/ssd-specs/kioxia-exceria-plus-g3-1-tb.d2326,Kioxia Exceria Plus G3 1 TB Specs | TechPowerUp SSD Database,Phison,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 1,600 MT/s",,,,Kioxia Exceria Plus G3 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/kioxia-xg6-1-tb.d2170,Kioxia XG6 1 TB Specs | TechPowerUp SSD Database,Toshiba-Phison,1 TB (1024 GB),PCIe 3.0 x4,M.2 2280 (Double-Sided),DRAM (enabled),8 @ 533 MT/s,,,,Kioxia XG6 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/kioxia-xg6-512-gb.d2171,Kioxia XG6 512 GB Specs | TechPowerUp SSD Database,Toshiba-Phison,512 GB,PCIe 3.0 x4,M.2 2280 (Double-Sided),DRAM (enabled),8 @ 533 MT/s,,,,Kioxia XG6 512 GB Specs | TechPowerUp SSD Database,0.512,,,,False
https://www.techpowerup.com/ssd-specs/kootion-x16-plus-1-tb.d1922,Kootion X16 Plus 1 TB (MAP1602 + YMTC TLC EET1A 232-L 1Tb),MaxioTech,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Kootion X16 Plus 1 TB (MAP1602 + YMTC TLC EET1A 232-L 1Tb),1.0,,,,False
https://www.techpowerup.com/ssd-specs/kootion-x16-plus-1-tb.d2699,Kootion X16 Plus 1 TB (MAP1602 + YMTC TLC CDT2A 128-L 512Gb),MaxioTech,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Kootion X16 Plus 1 TB (MAP1602 + YMTC TLC CDT2A 128-L 512Gb),1.0,,,,True
https://www.techpowerup.com/ssd-specs/kootion-x16-plus-1-tb.d2700,Kootion X16 Plus 1 TB (MAP1602 + YMTC QLC X3-6070 232-L 1Tb),MaxioTech,1 TB (1000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Kootion X16 Plus 1 TB (MAP1602 + YMTC QLC X3-6070 232-L 1Tb),1.0,,,,False
https://www.techpowerup.com/ssd-specs/kootion-x16-plus-2-tb.d2697,Kootion X16 Plus 2 TB (MAP1602 + YMTC TLC EET1A 232-L 1Tb),MaxioTech,2 TB (2000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Kootion X16 Plus 2 TB (MAP1602 + YMTC TLC EET1A 232-L 1Tb),2.0,,,,False
https://www.techpowerup.com/ssd-specs/kootion-x16-plus-2-tb.d2701,Kootion X16 Plus 2 TB (MAP1602 + YMTC QLC X3-6070 232-L 1Tb),MaxioTech,2 TB (2000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Kootion X16 Plus 2 TB (MAP1602 + YMTC QLC X3-6070 232-L 1Tb),2.0,,,,False
https://www.techpowerup.com/ssd-specs/kootion-x16-plus-4-tb.d2698,Kootion X16 Plus 4 TB (MAP1602 + YMTC TLC EET1A 232-L 1Tb),MaxioTech,4 TB (4000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Kootion X16 Plus 4 TB (MAP1602 + YMTC TLC EET1A 232-L 1Tb),4.0,,,,False
https://www.techpowerup.com/ssd-specs/kootion-x16-plus-4-tb.d2702,Kootion X16 Plus 4 TB (MAP1602 + YMTC QLC X3-6070 232-L 1Tb),MaxioTech,4 TB (4000 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Kootion X16 Plus 4 TB (MAP1602 + YMTC QLC X3-6070 232-L 1Tb),4.0,,,,False
https://www.techpowerup.com/ssd-specs/lexar-nm790-1-tb.d1493,Lexar NM790 1 TB Specs | TechPowerUp SSD Database,MaxioTech,1 TB (1024 GB),PCIe 4.0 x4,M.2 2280 (Single-Sided),HMB (enabled),"4 @ 2,400 MT/s",,,,Lexar NM790 1 TB Specs | TechPowerUp SSD Database,1.0,,,,False
https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7a40-15-tb.d2189,Memblaze PBlaze7 7A40 15 TB Specs | TechPowerUp SSD Database,Alibaba,15 TB (15360 GB),PCIe 5.0 x4,U.2,DRAM (enabled),"16 @ 1,600 MT/s",,,,Memblaze PBlaze7 7A40 15 TB Specs | TechPowerUp SSD Database,15.0,,,,False
https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7a40-3-8-tb.d2187,Memblaze PBlaze7 7A40 3.8 TB Specs | TechPowerUp SSD Database,Alibaba,3.8 TB (3840 GB),PCIe 5.0 x4,U.2,DRAM (enabled),"16 @ 1,600 MT/s",,,,Memblaze PBlaze7 7A40 3.8 TB Specs | TechPowerUp SSD Database,3.8,,,,False
