VM Name,Region ID,Region Name,Linux Price,Windows Price,Modified Date Time
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/8/2023 1:35
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/10/2023 1:36
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/13/2023 1:12
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/15/2023 1:22
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/17/2023 3:32
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/20/2023 1:58
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/22/2023 1:26
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/24/2023 1:37
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/27/2023 1:24
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/29/2023 1:26
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,3/31/2023 1:43
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/3/2023 2:04
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/5/2023 1:28
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/7/2023 1:48
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/14/2023 2:32
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/17/2023 1:25
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/19/2023 1:38
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/21/2023 1:27
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/24/2023 1:32
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/28/2023 2:44
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,4/30/2023 13:21
Standard_ND96amsr_A100_v4,eastus,East US,18.0235,20.4523,5/1/2023 1:47
Standard_ND96amsr_A100_v4,eastus,East US,16.2212,19.5338,5/3/2023 1:20
