Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
C7A Double Extra Large,c7a.2xlarge,c7a,"257,510.73",Compute optimized,105.0 fps,16 GiB,4800 MT/s,No,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,2500 Mbps,312.5 MB/s,12000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.4106 hourly,$0.2716 hourly,$0.1517 hourly,$0.2048 hourly,$0.5258 hourly,$0.3868 hourly,$0.2669 hourly,$0.3807 hourly,$0.6658 hourly,$0.5268 hourly,,,$0.5356 hourly,$0.3315 hourly,$0.2767 hourly,$0.3905 hourly,$0.7786 hourly,$0.6396 hourly,$0.4133 hourly,$0.4163 hourly,$10.839 hourly,$7.17 hourly,$0.9138 hourly,$0.7748 hourly,$1.7386 hourly,$1.5996 hourly,$3.7786 hourly,$3.6396 hourly,$0.5458 hourly,$0.4068 hourly,$1.3706 hourly,$1.2316 hourly,$3.4106 hourly,$3.2716 hourly,5-10%,$0.1026 hourly,current,,,No,3.51x,,,,,,
C7A 32xlarge,c7a.32xlarge,c7a,"4,052,342.761",Compute optimized,294.0 fps,256 GiB,4800 MT/s,Yes,2,32,64,64,126225 MB,256.0 MB,Yes,0 units,128 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,160000 IOPS,40000 Mbps,5000 MB/s,160000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$6.569 hourly,$4.3454 hourly,$2.0802 hourly,$2.3196 hourly,$7.7978 hourly,$5.5742 hourly,$3.309 hourly,$3.8669 hourly,$9.1418 hourly,$6.9182 hourly,,,$6.694 hourly,$4.4053 hourly,$2.2052 hourly,$2.7631 hourly,$12.457 hourly,$10.2334 hourly,$6.5449 hourly,$6.5773 hourly,$10.839 hourly,$7.17 hourly,$14.6202 hourly,$12.3966 hourly,$27.817 hourly,$25.5934 hourly,$60.457 hourly,$58.2334 hourly,$8.7322 hourly,$6.5086 hourly,$21.929 hourly,$19.7054 hourly,$54.569 hourly,$52.3454 hourly,10-15%,$1.6422 hourly,current,,,No,9.79x,,,,,,
C7A 48xlarge,c7a.48xlarge,c7a,"5,863,490.609",Compute optimized,311.0 fps,384 GiB,5600 MT/s,Yes,2,32,96,96,189388 MB,384.0 MB,Yes,0 units,192 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$9.8534 hourly,$6.5181 hourly,$2.6559 hourly,$3.5522 hourly,$11.6966 hourly,$8.3613 hourly,$4.4991 hourly,$5.9912 hourly,$13.7126 hourly,$10.3773 hourly,,,$9.9784 hourly,$6.578 hourly,$2.7809 hourly,$4.273 hourly,$18.6854 hourly,$15.3501 hourly,$9.8983 hourly,$9.9018 hourly,$10.839 hourly,$7.17 hourly,$21.9302 hourly,$18.5949 hourly,$41.7254 hourly,$38.3901 hourly,$90.6854 hourly,$87.3501 hourly,$13.0982 hourly,$9.7629 hourly,$32.8934 hourly,$29.5581 hourly,$81.8534 hourly,$78.5181 hourly,>20%,$2.4634 hourly,current,,,No,10.40x,,,,,,
C7A Quadruple Extra Large,c7a.4xlarge,c7a,"514,497.026",Compute optimized,189.0 fps,32 GiB,5600 MT/s,No,,,,,,,,0 units,16 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$0.8211 hourly,$0.5432 hourly,$0.3209 hourly,$0.354 hourly,$0.9939 hourly,$0.716 hourly,$0.4937 hourly,$0.5698 hourly,$1.2179 hourly,$0.94 hourly,,,$0.9461 hourly,$0.6031 hourly,$0.4459 hourly,$0.522 hourly,$1.5571 hourly,$1.2792 hourly,$0.8249 hourly,$0.8261 hourly,$10.839 hourly,$7.17 hourly,$1.8275 hourly,$1.5496 hourly,$3.4771 hourly,$3.1992 hourly,$7.5571 hourly,$7.2792 hourly,$1.0915 hourly,$0.8136 hourly,$2.7411 hourly,$2.4632 hourly,$6.8211 hourly,$6.5432 hourly,5-10%,$0.2053 hourly,current,,,No,6.29x,,,,,,
C7A Eight Extra Large,c7a.8xlarge,c7a,"1,061,007.958",Compute optimized,285.0 fps,64 GiB,5600 MT/s,No,,,,,,,,0 units,32 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,84,Yes,Yes,Yes,Unknown,Yes,,$1.6422 hourly,$1.0863 hourly,$0.5324 hourly,$0.7086 hourly,$1.9878 hourly,$1.4319 hourly,$0.878 hourly,$1.5101 hourly,$2.4358 hourly,$1.8799 hourly,,,$1.7672 hourly,$1.1462 hourly,$0.6574 hourly,$1.2895 hourly,$3.1142 hourly,$2.5583 hourly,$1.6497 hourly,$1.6505 hourly,$10.839 hourly,$7.17 hourly,$3.655 hourly,$3.0991 hourly,$6.9542 hourly,$6.3983 hourly,$15.1142 hourly,$14.5583 hourly,$2.183 hourly,$1.6271 hourly,$5.4822 hourly,$4.9263 hourly,$13.6422 hourly,$13.0863 hourly,15-20%,$0.4106 hourly,current,,,No,9.49x,,,,,,
C7A Large,c7a.large,c7a,"67,336.289",Compute optimized,,4 GiB,4800 MT/s,No,,,,,,,,0 units,2 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,650 Mbps,81.25 MB/s,3600 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.1026 hourly,$0.0679 hourly,$0.0285 hourly,$0.033 hourly,$0.1314 hourly,$0.0967 hourly,$0.0573 hourly,$0.0657 hourly,$0.1664 hourly,$0.1317 hourly,,,$0.1589 hourly,$0.0929 hourly,$0.0848 hourly,$0.0932 hourly,$0.1946 hourly,$0.1599 hourly,$0.1031 hourly,$0.1032 hourly,$10.839 hourly,$7.17 hourly,$0.2622 hourly,$0.2275 hourly,$0.6746 hourly,$0.6399 hourly,,,$0.1702 hourly,$0.1355 hourly,$0.5826 hourly,$0.5479 hourly,,,5-10%,,current,,,,,,,,,,
C7A Medium,c7a.medium,c7a,"32,965.222",Compute optimized,,2 GiB,4800 MT/s,No,,,,,,,,0 units,1 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,325 Mbps,40.625 MB/s,2500 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,8,2,Yes,No,Yes,4,Yes,Yes,Yes,Unknown,No,,$0.0513 hourly,$0.034 hourly,$0.0072 hourly,$0.0113 hourly,$0.0657 hourly,$0.0484 hourly,$0.0216 hourly,$0.0277 hourly,$0.0832 hourly,$0.0659 hourly,,,$0.1076 hourly,$0.059 hourly,$0.0635 hourly,$0.0696 hourly,$0.0973 hourly,$0.08 hourly,$0.0516 hourly,$0.0516 hourly,$10.839 hourly,$7.17 hourly,$0.1649 hourly,$0.1476 hourly,$0.5773 hourly,$0.56 hourly,,,$0.1189 hourly,$0.1016 hourly,$0.5313 hourly,$0.514 hourly,,,<5%,,current,,,,,,,,,,
C7A Metal-48xl,c7a.metal-48xl,c7a,"6,115,948.184",Compute optimized,329.0 fps,384 GiB,5600 MT/s,Yes,2,32,96,96,192538 MB,384.0 MB,Yes,0 units,192 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,107,Yes,Yes,Yes,Unknown,No,,$9.8534 hourly,$6.5181 hourly,$2.3611 hourly,$2.7322 hourly,$11.6966 hourly,$8.3613 hourly,$4.2043 hourly,$5.3367 hourly,$13.7126 hourly,$10.3773 hourly,,,$9.9784 hourly,$6.578 hourly,$2.4861 hourly,$3.6185 hourly,$18.6854 hourly,$15.3501 hourly,$9.8173 hourly,$9.8668 hourly,$10.839 hourly,$7.17 hourly,$21.9302 hourly,$18.5949 hourly,$41.7254 hourly,$38.3901 hourly,$90.6854 hourly,$87.3501 hourly,$13.0982 hourly,$9.7629 hourly,$32.8934 hourly,$29.5581 hourly,$81.8534 hourly,$78.5181 hourly,<5%,,current,,,No,11.00x,,,,,,
C7A Extra Large,c7a.xlarge,c7a,"133,081.956",Compute optimized,55.0 fps,8 GiB,5600 MT/s,No,,,,,,,,0 units,4 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,1250 Mbps,156.25 MB/s,6000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.2053 hourly,$0.1358 hourly,$0.0662 hourly,$0.077 hourly,$0.2629 hourly,$0.1934 hourly,$0.1238 hourly,$0.1497 hourly,$0.3329 hourly,$0.2634 hourly,,,$0.2616 hourly,$0.1858 hourly,$0.1225 hourly,$0.1484 hourly,$0.3893 hourly,$0.3198 hourly,$0.2062 hourly,$0.2064 hourly,$10.839 hourly,$7.17 hourly,$0.4569 hourly,$0.3874 hourly,$0.8693 hourly,$0.7998 hourly,$1.8893 hourly,$1.8198 hourly,$0.2729 hourly,$0.2034 hourly,$0.6853 hourly,$0.6158 hourly,$1.7053 hourly,$1.6358 hourly,10-15%,$0.0513 hourly,current,,,No,1.84x,,,,,,
C7G 12xlarge Extra Large,c7g.12xlarge,c7g,"1,252,037.822",Compute optimized,240.0 fps,96 GiB,,No,,,,,,,,0 units,48 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.74 hourly,$1.1466 hourly,$0.4793 hourly,$0.549 hourly,$2.2584 hourly,$1.665 hourly,$0.9977 hourly,$1.2013 hourly,$2.9304 hourly,$2.337 hourly,,,$1.865 hourly,$1.2066 hourly,$0.6043 hourly,$0.8079 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,5-10%,$0.435 hourly,current,,,No,8.00x,,,,,,
C7G 16xlarge Extra Large,c7g.16xlarge,c7g,"1,611,786.186",Compute optimized,242.0 fps,128 GiB,,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$2.32 hourly,$1.5288 hourly,$0.6499 hourly,$0.6964 hourly,$3.0112 hourly,$2.22 hourly,$1.3411 hourly,$1.498 hourly,$3.9072 hourly,$3.116 hourly,,,$2.445 hourly,$1.5888 hourly,$0.7749 hourly,$0.9318 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,5-10%,$0.58 hourly,current,,,No,8.06x,,,,,,
C7G Double Extra Large,c7g.2xlarge,c7g,"199,104.032",Compute optimized,72.0 fps,16 GiB,,No,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 15 Gigabit,2500 Mbps,312.5 MB/s,12000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.29 hourly,$0.1911 hourly,$0.1035 hourly,$0.1137 hourly,$0.4052 hourly,$0.3063 hourly,$0.2187 hourly,$0.2477 hourly,$0.5452 hourly,$0.4463 hourly,,,$0.415 hourly,$0.2511 hourly,$0.2285 hourly,$0.2575 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,5-10%,$0.0725 hourly,current,,,No,2.40x,,,,,,
C7G Quadruple Extra Large,c7g.4xlarge,c7g,"413,329.889",Compute optimized,133.0 fps,32 GiB,,No,,,,,,,,0 units,16 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 15 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$0.58 hourly,$0.3822 hourly,$0.2216 hourly,$0.2357 hourly,$0.7528 hourly,$0.555 hourly,$0.3944 hourly,$0.4455 hourly,$0.9768 hourly,$0.779 hourly,,,$0.705 hourly,$0.4422 hourly,$0.3466 hourly,$0.3977 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,<5%,$0.145 hourly,current,,,No,4.42x,,,,,,
C7G Eight Extra Large,c7g.8xlarge,c7g,"807,876.799",Compute optimized,212.0 fps,64 GiB,,No,,,,,,,,0 units,32 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.16 hourly,$0.7644 hourly,$0.329 hourly,$0.4224 hourly,$1.5056 hourly,$1.11 hourly,$0.6746 hourly,$0.8089 hourly,$1.9536 hourly,$1.558 hourly,,,$1.285 hourly,$0.8244 hourly,$0.454 hourly,$0.5883 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,<5%,$0.29 hourly,current,,,No,7.06x,,,,,,
C7G Large,c7g.large,c7g,"51,890.77",Compute optimized,,4 GiB,,No,,,,,,,,0 units,2 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 12.5 Gigabit,630 Mbps,78.75 MB/s,3600 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.0725 hourly,$0.0478 hourly,$0.0213 hourly,$0.0233 hourly,$0.1013 hourly,$0.0766 hourly,$0.0501 hourly,$0.053 hourly,$0.1363 hourly,$0.1116 hourly,,,$0.1288 hourly,$0.0728 hourly,$0.0776 hourly,$0.0805 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,5-10%,,current,,,,,,,,,,
C7G Medium,c7g.medium,c7g,"24,828.271",Compute optimized,,2 GiB,,No,,,,,,,,0 units,1 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 12.5 Gigabit,315 Mbps,39.375 MB/s,2500 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,8,2,Yes,No,Yes,4,Yes,Yes,Yes,Unknown,No,,$0.0363 hourly,$0.0239 hourly,$0.0056 hourly,$0.0081 hourly,$0.0507 hourly,$0.0383 hourly,$0.02 hourly,$0.0239 hourly,$0.0682 hourly,$0.0558 hourly,,,$0.0673 hourly,$0.0369 hourly,$0.0366 hourly,$0.0405 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,<5%,,current,,,,,,,,,,
C7G Metal,c7g.metal,c7g,"1,533,852.606",Compute optimized,245.0 fps,128 GiB,,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,107,Yes,Yes,Yes,Unknown,No,,$2.32 hourly,$1.5288 hourly,$0.5997 hourly,$0.6707 hourly,$3.0112 hourly,$2.22 hourly,$1.2909 hourly,$1.507 hourly,$3.9072 hourly,$3.116 hourly,,,$2.445 hourly,$1.5887 hourly,$0.7247 hourly,$0.9408 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,5-10%,,current,,,No,8.17x,,,,,,
C7G Extra Large,c7g.xlarge,c7g,"99,781.727",Compute optimized,38.0 fps,8 GiB,,No,,,,,,,,0 units,4 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 12.5 Gigabit,1250 Mbps,156.25039999999998 MB/s,6000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.145 hourly,$0.0955 hourly,$0.0453 hourly,$0.0499 hourly,$0.2026 hourly,$0.1531 hourly,$0.1029 hourly,$0.1108 hourly,$0.2726 hourly,$0.2231 hourly,,,$0.2013 hourly,$0.1455 hourly,$0.1016 hourly,$0.1095 hourly,,,,,$7.656 hourly,$5.045 hourly,,,,,,,,,,,,,5-10%,$0.0363 hourly,current,,,No,1.25x,,,,,,
C7GD 12xlarge Extra Large,c7gd.12xlarge,c7gd,"1,211,280.045",Compute optimized,238.0 fps,96 GiB,,No,,,,,,,,0 units,48 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,2850 GB (2×1425 GB NVMe SSD),Yes,Yes,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$2.1773 hourly,$1.3721 hourly,$0.5631 hourly,$0.6325 hourly,$2.6957 hourly,$1.8905 hourly,$1.0815 hourly,$1.2373 hourly,$3.3677 hourly,$2.5625 hourly,,,$2.3023 hourly,$1.432 hourly,$0.6881 hourly,$0.8439 hourly,,,,,$9.58 hourly,$6.037 hourly,,,,,,,,,,,,,>20%,$0.5443 hourly,current,,,No,7.94x,,,,,,
C7GD 16xlarge Extra Large,c7gd.16xlarge,c7gd,"1,579,466.93",Compute optimized,242.0 fps,128 GiB,,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$2.903 hourly,$1.8295 hourly,$0.543 hourly,$0.7412 hourly,$3.5942 hourly,$2.5207 hourly,$1.2342 hourly,$1.5797 hourly,$4.4902 hourly,$3.4167 hourly,,,$3.028 hourly,$1.8894 hourly,$0.668 hourly,$1.0135 hourly,,,,,$9.58 hourly,$6.037 hourly,,,,,,,,,,,,,15-20%,$0.7258 hourly,current,,,No,8.04x,,,,,,
C7GD Double Extra Large,c7gd.2xlarge,c7gd,"206,718.346",Compute optimized,72.0 fps,16 GiB,,No,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,474 GB NVMe SSD,Yes,Yes,arm64,Up to 15 Gigabit,2500 Mbps,312.5 MB/s,12000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.3629 hourly,$0.2287 hourly,$0.0518 hourly,$0.0988 hourly,$0.4781 hourly,$0.3439 hourly,$0.167 hourly,$0.2749 hourly,$0.6181 hourly,$0.4839 hourly,,,$0.4879 hourly,$0.2886 hourly,$0.1768 hourly,$0.2847 hourly,,,,,$9.58 hourly,$6.037 hourly,,,,,,,,,,,,,>20%,$0.0907 hourly,current,,,No,2.41x,,,,,,
C7GD Quadruple Extra Large,c7gd.4xlarge,c7gd,"402,161.619",Compute optimized,133.0 fps,32 GiB,,No,,,,,,,,0 units,16 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,950 GB NVMe SSD,Yes,Yes,arm64,Up to 15 Gigabit,5000 Mbps,625 MB/s,20000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$0.7258 hourly,$0.4574 hourly,$0.1757 hourly,$0.2279 hourly,$0.8986 hourly,$0.6302 hourly,$0.3485 hourly,$0.438 hourly,$1.1226 hourly,$0.8542 hourly,,,$0.8508 hourly,$0.5173 hourly,$0.3007 hourly,$0.3902 hourly,,,,,$9.58 hourly,$6.037 hourly,,,,,,,,,,,,,15-20%,$0.1815 hourly,current,,,No,4.42x,,,,,,
C7GD Eight Extra Large,c7gd.8xlarge,c7gd,"819,882.142",Compute optimized,212.0 fps,64 GiB,,No,,,,,,,,0 units,32 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,1900 GB NVMe SSD,Yes,Yes,arm64,15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.4515 hourly,$0.9148 hourly,$0.306 hourly,$0.3545 hourly,$1.7971 hourly,$1.2604 hourly,$0.6516 hourly,$0.7355 hourly,$2.2451 hourly,$1.7084 hourly,,,$1.5765 hourly,$0.9747 hourly,$0.431 hourly,$0.5149 hourly,,,,,$9.58 hourly,$6.037 hourly,,,,,,,,,,,,,15-20%,$0.3629 hourly,current,,,No,7.08x,,,,,,
C7GD Large,c7gd.large,c7gd,"50,706.725",Compute optimized,,4 GiB,,No,,,,,,,,0 units,2 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,118 GB NVMe SSD,Yes,Yes,arm64,Up to 12.5 Gigabit,630 Mbps,78.75 MB/s,3600 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.0907 hourly,$0.0572 hourly,$0.0241 hourly,$0.0337 hourly,$0.1195 hourly,$0.086 hourly,$0.0529 hourly,$0.0724 hourly,$0.1545 hourly,$0.121 hourly,,,$0.147 hourly,$0.0822 hourly,$0.0804 hourly,$0.0999 hourly,,,,,$9.58 hourly,$6.037 hourly,,,,,,,,,,,,,>20%,,current,,,,,,,,,,
C7GD Medium,c7gd.medium,c7gd,"24,917.461",Compute optimized,,2 GiB,,No,,,,,,,,0 units,1 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,59 GB NVMe SSD,Yes,Yes,arm64,Up to 12.5 Gigabit,315 Mbps,39.375 MB/s,2500 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,8,2,Yes,No,Yes,4,Yes,Yes,Yes,Unknown,No,,$0.0454 hourly,$0.0286 hourly,$0.0062 hourly,$0.0145 hourly,$0.0598 hourly,$0.043 hourly,$0.0206 hourly,$0.0335 hourly,$0.0773 hourly,$0.0605 hourly,,,$0.1017 hourly,$0.0536 hourly,$0.0625 hourly,$0.0754 hourly,,,,,$9.58 hourly,$6.037 hourly,,,,,,,,,,,,,>20%,,current,,,,,,,,,,
